,modelo,parametros,rmse,nlpd,mape,fold,tentativa
83,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014478942861538048, 'order': 3.0}",154790.27773593055,17.614306009413276,1.016951088372732,3,16.0
84,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014478942861538048, 'order': 3.0}",29482.60383727663,14.938796542231856,0.5839972071159603,4,16.0
85,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014385076516259866, 'order': 9.0}",5.1994868766701005e+40,,1.0,0,17.0
86,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014385076516259866, 'order': 9.0}",5.008858498732283e+37,,1.0,1,17.0
87,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014385076516259866, 'order': 9.0}",4.315996119687839e+37,,1.0,2,17.0
88,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014385076516259866, 'order': 9.0}",5.515254894262953e+37,,1.0,3,17.0
89,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0014385076516259866, 'order': 9.0}",1.7688479202508003e+35,,1.0,4,17.0
90,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.02132380176848085, 'order': 2.0}",3039.261705267199,18.95321961347639,1.025259889027336,0,18.0
91,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.02132380176848085, 'order': 2.0}",2950.0816250420917,18.952655248656477,0.8823781080964543,1,18.0
92,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.02132380176848085, 'order': 2.0}",2742.752303242197,18.955475995172975,1.1435294199501582,2,18.0
93,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.02132380176848085, 'order': 2.0}",8130.39362394155,18.9550237569805,1.378370038151909,3,18.0
94,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.02132380176848085, 'order': 2.0}",29499.380336058057,16.284092503344073,0.857159792673954,4,18.0
95,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.02466909882434172, 'order': 8.0}",1.5565993044340927e+35,,1.0,0,19.0
96,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.02466909882434172, 'order': 8.0}",4.447839700954918e+32,,1.0,1,19.0
97,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.02466909882434172, 'order': 8.0}",4.253747738710244e+33,,1.0,2,19.0
