,modelo,parametros,rmse,nlpd,mape,fold,tentativa
202,BayesianRBFLinearRegression,"{'sig2_error': 0.09819792853773555, 'mean_rbf_arbitrario': -0.7637383940911193, 'lambda_rbf_arbitrario': 0.6610216657778678}",3317.465415704529,19.71873352912811,0.87474643487997,2,40.0
203,BayesianRBFLinearRegression,"{'sig2_error': 0.09819792853773555, 'mean_rbf_arbitrario': -0.7637383940911193, 'lambda_rbf_arbitrario': 0.6610216657778678}",3661.7147561668166,19.7148171038135,0.6726154976181501,3,40.0
204,BayesianRBFLinearRegression,"{'sig2_error': 0.09819792853773555, 'mean_rbf_arbitrario': -0.7637383940911193, 'lambda_rbf_arbitrario': 0.6610216657778678}",29613.005348985953,17.047462768148943,0.7584561085040646,4,40.0
205,BayesianRBFLinearRegression,"{'sig2_error': 0.962228016531481, 'mean_rbf_arbitrario': 0.5872134392780932, 'lambda_rbf_arbitrario': 0.5305658455686699}",3594.4580367939893,20.85735954723105,0.6504856970509273,0,41.0
206,BayesianRBFLinearRegression,"{'sig2_error': 0.962228016531481, 'mean_rbf_arbitrario': 0.5872134392780932, 'lambda_rbf_arbitrario': 0.5305658455686699}",3589.0494721210275,20.85726230474137,0.7727284840089597,1,41.0
207,BayesianRBFLinearRegression,"{'sig2_error': 0.962228016531481, 'mean_rbf_arbitrario': 0.5872134392780932, 'lambda_rbf_arbitrario': 0.5305658455686699}",3340.5640118653064,20.859859875036367,0.6170770048124616,2,41.0
208,BayesianRBFLinearRegression,"{'sig2_error': 0.962228016531481, 'mean_rbf_arbitrario': 0.5872134392780932, 'lambda_rbf_arbitrario': 0.5305658455686699}",3680.313715934555,20.85594944877696,1.3502261789580705,3,41.0
209,BayesianRBFLinearRegression,"{'sig2_error': 0.962228016531481, 'mean_rbf_arbitrario': 0.5872134392780932, 'lambda_rbf_arbitrario': 0.5305658455686699}",29624.460484025953,18.188588714413132,0.7686080003381566,4,41.0
210,BayesianRBFLinearRegression,"{'sig2_error': 0.7482809572880925, 'mean_rbf_arbitrario': 0.8632884627727275, 'lambda_rbf_arbitrario': 0.668420136444229}",3581.6055869451434,20.73162835295058,0.7949084149821117,0,42.0
211,BayesianRBFLinearRegression,"{'sig2_error': 0.7482809572880925, 'mean_rbf_arbitrario': 0.8632884627727275, 'lambda_rbf_arbitrario': 0.668420136444229}",3557.4910372781337,20.73152462405938,0.6985408587603419,1,42.0
212,BayesianRBFLinearRegression,"{'sig2_error': 0.7482809572880925, 'mean_rbf_arbitrario': 0.8632884627727275, 'lambda_rbf_arbitrario': 0.668420136444229}",3317.6512859869317,20.734124549654116,0.80880703068758,2,42.0
213,BayesianRBFLinearRegression,"{'sig2_error': 0.7482809572880925, 'mean_rbf_arbitrario': 0.8632884627727275, 'lambda_rbf_arbitrario': 0.668420136444229}",3661.4017177749533,20.730210397230643,0.6653519411027986,3,42.0
214,BayesianRBFLinearRegression,"{'sig2_error': 0.7482809572880925, 'mean_rbf_arbitrario': 0.8632884627727275, 'lambda_rbf_arbitrario': 0.668420136444229}",29611.849526290658,18.062849367691577,0.7570194851397537,4,42.0
215,BayesianRBFLinearRegression,"{'sig2_error': 0.26090561227347936, 'mean_rbf_arbitrario': -0.5545476527758282, 'lambda_rbf_arbitrario': 0.43322320059599384}",3601.547948255653,20.20481629555484,0.6285731088871226,0,43.0
