,modelo,parametros,rmse,nlpd,fold,tentativa
153,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.4893140478400557}",2705.8570131984297,16092366882.103418,3,30.0
154,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.4893140478400557}",2919.761309718601,9829891834.36894,4,30.0
155,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.43092988081361455}",2855.9735655100294,1017321.7461556649,0,31.0
156,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.43092988081361455}",2825.823163371961,996117.9694992513,1,31.0
157,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.43092988081361455}",3362.8248211149307,1410767.217948773,2,31.0
158,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.43092988081361455}",2695.806550095914,906606.4675855162,3,31.0
159,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.43092988081361455}",2915.332516405399,1060165.9321358218,4,31.0
160,RBFLinearRegression,"{'sig2_error': 0.8040258898088491, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.35403345351468074}",2838.290393694947,1249639.551189399,0,32.0
161,RBFLinearRegression,"{'sig2_error': 0.8040258898088491, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.35403345351468074}",2802.334188623988,1218351.4376990367,1,32.0
162,RBFLinearRegression,"{'sig2_error': 0.8040258898088491, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.35403345351468074}",3351.215079495315,1742462.446149742,2,32.0
163,RBFLinearRegression,"{'sig2_error': 0.8040258898088491, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.35403345351468074}",2671.120715650896,1107005.4916484253,3,32.0
164,RBFLinearRegression,"{'sig2_error': 0.8040258898088491, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.35403345351468074}",2894.708347592743,1299931.2393676518,4,32.0
165,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.7470859097939474, 'lambda_rbf_arbitrario': 0.4307032741055041}",2941.2774014303636,16522065358.364986,0,33.0
166,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.7470859097939474, 'lambda_rbf_arbitrario': 0.4307032741055041}",2885.29428131976,,1,33.0
167,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.7470859097939474, 'lambda_rbf_arbitrario': 0.4307032741055041}",3409.8018770663634,67649629324.73874,2,33.0
168,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.7470859097939474, 'lambda_rbf_arbitrario': 0.4307032741055041}",2768.7784461877245,30739374250.481136,3,33.0
169,RBFLinearRegression,"{'sig2_error': 1e-07, 'mean_rbf_arbitrario': -0.7470859097939474, 'lambda_rbf_arbitrario': 0.4307032741055041}",2990.053527758265,28020348005.445145,4,33.0
